salary,name,total_value,pos,years,avg_annual,team
"$ 3,800,000",Darryl Strawberry,"$ 3,800,000",OF,1 (1991),"$ 3,800,000",LAD
"$ 3,750,000",Kevin Mitchell,"$ 3,750,000",OF,1 (1991),"$ 3,750,000",SF
"$ 3,750,000",Will Clark,"$ 3,750,000",1B,1 (1991),"$ 3,750,000",SF
"$ 3,625,000",Mark Davis,"$ 3,625,000",P,1 (1991),"$ 3,625,000",KC
"$ 3,600,000",Eric Davis,"$ 3,600,000",OF,1 (1991),"$ 3,600,000",CIN
"$ 3,562,500",Willie McGee,"$ 3,562,500",OF,1 (1991),"$ 3,562,500",SF
"$ 3,550,000",Mark Langston,"$ 3,550,000",P,1 (1991),"$ 3,550,000",LAA
"$ 3,500,000",Dave Stewart,"$ 3,500,000",P,1 (1991),"$ 3,500,000",OAK
"$ 3,500,000",Jose Canseco,"$ 3,500,000",OF,1 (1991),"$ 3,500,000",OAK
"$ 3,500,000",Tim Raines Sr.,"$ 3,500,000",OF,1 (1991),"$ 3,500,000",CWS
"$ 3,450,000",Bob Welch,"$ 3,450,000",P,1 (1991),"$ 3,450,000",OAK
"$ 3,420,000",Don Mattingly,"$ 3,420,000",1B,1 (1991),"$ 3,420,000",NYY
"$ 3,350,000",Doug Drabek,"$ 3,350,000",P,1 (1991),"$ 3,350,000",PIT
"$ 3,333,333",Dennis Martinez,"$ 3,333,333",P,1 (1991),"$ 3,333,333",WSH
"$ 3,300,000",Andre Dawson,"$ 3,300,000",OF,1 (1991),"$ 3,300,000",CHC
"$ 3,300,000",Dave Winfield,"$ 3,300,000",OF,1 (1991),"$ 3,300,000",LAA
"$ 3,300,000",Nolan Ryan,"$ 3,300,000",P,1 (1991),"$ 3,300,000",TEX
"$ 3,275,000",Glenn Davis,"$ 3,275,000",1B,1 (1991),"$ 3,275,000",BAL
"$ 3,250,000",Danny Darwin,"$ 3,250,000",P,1 (1991),"$ 3,250,000",BOS
"$ 3,250,000",Rickey Henderson,"$ 3,250,000",OF,1 (1991),"$ 3,250,000",OAK
"$ 3,233,333",Paul Molitor,"$ 3,233,333",DH,1 (1991),"$ 3,233,333",MIL
"$ 3,200,000",Robin Yount,"$ 3,200,000",OF,1 (1991),"$ 3,200,000",MIL
"$ 3,166,667",Frank Viola,"$ 3,166,667",P,1 (1991),"$ 3,166,667",NYM
"$ 3,166,667",Kirby Puckett,"$ 3,166,667",OF,1 (1991),"$ 3,166,667",MIN
"$ 3,166,667",Mike Boddicker,"$ 3,166,667",P,1 (1991),"$ 3,166,667",KC
"$ 3,166,667",Orel Hershiser,"$ 3,166,667",P,1 (1991),"$ 3,166,667",LAD
"$ 3,112,500",Vince Coleman,"$ 3,112,500",OF,1 (1991),"$ 3,112,500",NYM
"$ 3,033,333",Kelly Gruber,"$ 3,033,333",3B,1 (1991),"$ 3,033,333",TOR
"$ 3,000,000",Dave Stieb,"$ 3,000,000",P,1 (1991),"$ 3,000,000",TOR
"$ 2,966,667",Tom Henke,"$ 2,966,667",P,1 (1991),"$ 2,966,667",TOR
"$ 2,950,000",Bret Saberhagen,"$ 2,950,000",P,1 (1991),"$ 2,950,000",KC
"$ 2,900,000",Jack Clark,"$ 2,900,000",1B,1 (1991),"$ 2,900,000",BOS
"$ 2,850,000",Mark McGwire,"$ 2,850,000",1B,1 (1991),"$ 2,850,000",OAK
"$ 2,833,333",Bill Doran,"$ 2,833,333",2B,1 (1991),"$ 2,833,333",CIN
"$ 2,833,333",Brett Butler,"$ 2,833,333",OF,1 (1991),"$ 2,833,333",LAD
"$ 2,833,333",Teddy Higuera,"$ 2,833,333",P,1 (1991),"$ 2,833,333",MIL
"$ 3,200,000",Robin Yount,"$ 3,200,000",OF,1 (1990),"$ 3,200,000",MIL
"$ 2,750,000",Fred McGriff,"$ 2,750,000",1B,1 (1991),"$ 2,750,000",SD
"$ 2,700,000",Gary Gaetti,"$ 2,700,000",3B,1 (1991),"$ 2,700,000",LAA
"$ 2,816,667",Kirby Puckett,"$ 2,816,667",OF,1 (1990),"$ 2,816,667",MIN
"$ 2,600,000",Paul Molitor,"$ 2,600,000",2B,1 (1990),"$ 2,600,000",MIL
"$ 2,700,000",Wade Boggs,"$ 2,700,000",3B,1 (1991),"$ 2,700,000",BOS
"$ 2,666,667",Jack Morris,"$ 2,666,667",P,1 (1991),"$ 2,666,667",MIN
"$ 6,200,000",Bobby Bonilla,"$ 6,200,000",OF,1 (1993),"$ 6,200,000",NYM
"$ 2,360,714",Gary Carter,"$ 2,360,714",C,1 (1988),"$ 2,360,714",NYM
