Abbreviation/ Acronym,Franchise
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles 
BOS,Boston Red Sox 
CAL,California Angels
CHC,Chicago Cubs 
CWS,Chicago White Sox
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLA,Florida Marlins
HOU,Houston Astros
KC,Kansas City Athletics 
LAD,Los Angeles Dodgers
LA,Los Angeles Dodgers 
MIA,Miami Marlins
MIL,Milwaukee Brewers 
MIN,Minnesota Twins
MTL,Montreal Expos
NYM,New York Mets
NYY,New York Yankees
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SD,San Diego Padres
SEA,Seattle Mariners 
SF,San Francisco Giants
STL,St. Louis Cardinals
TB,Tampa Bay 
TEX,Texas Rangers
TOR,Toronto Blue Jays
WSH,Washington Nationals
