Date,Open,High,Low,Close,Adj Close,Volume
2-Jan-20,27.21,27.95,26.62,27.89,27.89,781100
3-Jan-20,28.16,28.95,27.73,28.82,28.82,1405100
6-Jan-20,28.53,28.81,28,28.39,28.39,716800
7-Jan-20,28.17,28.28,26.08,26.44,26.44,1378900
8-Jan-20,26.37,26.4,24.86,25.19,25.19,1195900
9-Jan-20,25.18,25.5,24.68,25.31,25.31,684400
10-Jan-20,25.36,25.55,25.12,25.28,25.28,537300
13-Jan-20,25.31,25.39,24.31,25.31,25.31,939700
14-Jan-20,25.51,26.88,25.26,26.36,26.36,802000
15-Jan-20,26.34,26.86,25.92,26.2,26.2,510300
16-Jan-20,26.3,26.71,26.22,26.43,26.43,391900
17-Jan-20,26.6,26.76,25.31,25.4,25.4,620300
21-Jan-20,25.29,25.73,24.63,25.52,25.52,616800
22-Jan-20,25.54,25.72,25.17,25.59,25.59,373400
23-Jan-20,25.39,26.61,25.15,26.5,26.5,538900
24-Jan-20,26.53,26.56,25.68,25.99,25.99,565200
27-Jan-20,25.44,26.08,25.09,25.67,25.67,693200
28-Jan-20,25.86,26.36,25.74,26.14,26.14,463800
29-Jan-20,26.33,26.64,25.85,25.98,25.98,385200
30-Jan-20,25.7,26.54,25.48,26,26,561300
31-Jan-20,25.68,26.55,25.6,26.28,26.28,589200
3-Feb-20,26.35,27.59,26.25,26.52,26.52,920600
4-Feb-20,26.98,27.62,26.34,27.34,27.34,703600
5-Feb-20,27.77,28.03,27.3,27.89,27.89,675800
6-Feb-20,27.95,28.57,27.65,28.14,28.14,559000
7-Feb-20,27.94,28.28,26.42,26.85,26.85,429500
10-Feb-20,26.79,27.49,26.43,27.48,27.48,332700
11-Feb-20,27.85,28.13,27.03,27.56,27.56,466300
12-Feb-20,27.97,28.01,27.5,27.76,27.76,472200
13-Feb-20,27.79,29.08,27.64,28.39,28.39,844500
14-Feb-20,28.4,29.15,28.14,29.09,29.09,606400
18-Feb-20,28.95,29.81,28.8,29.4,29.4,575500
19-Feb-20,29.65,31,29.5,30.62,30.62,1040300
20-Feb-20,30.57,31.51,30.08,30.86,30.86,624800
21-Feb-20,30.74,30.83,30.03,30.25,30.25,509000
24-Feb-20,29.16,29.47,28.08,29.07,29.07,581900
25-Feb-20,29.4,29.4,26.83,27.6,27.6,708000
26-Feb-20,27.59,28.93,27.3,27.84,27.84,692800
27-Feb-20,27.13,27.56,25.85,25.89,25.89,1017900
28-Feb-20,24.9,26.66,24.51,26.45,26.45,838900
2-Mar-20,26.65,27.13,25.25,27,27,560300
3-Mar-20,27.13,27.82,25.73,26.06,26.06,510900
4-Mar-20,26.58,27.61,26.19,27.48,27.48,622000
5-Mar-20,26.66,27.93,26.33,27.15,27.15,946500
6-Mar-20,27,28.13,25.39,26.99,26.99,1554800
9-Mar-20,23.44,24.03,20.31,23.36,23.36,1893000
10-Mar-20,25.05,25.81,23.08,23.85,23.85,1342800
11-Mar-20,22.95,23.63,19.84,20.88,20.88,1360800
12-Mar-20,19.12,20.99,18.63,19.41,19.41,1490300
13-Mar-20,21.15,28.5,19.26,28.5,28.5,1170400
16-Mar-20,22.8,24.14,18.8,20.92,20.92,1683700
17-Mar-20,21.2,21.2,18.79,18.97,18.97,1225000
18-Mar-20,17.96,20.96,16.35,17.16,17.16,1056800
19-Mar-20,17.14,19.64,16.05,19.06,19.06,1047500
20-Mar-20,19.94,20.55,18.29,19.76,19.76,1130800
23-Mar-20,19.56,20.21,18.19,18.83,18.83,730900
24-Mar-20,19.31,22.11,19.31,20.9,20.9,947500
25-Mar-20,20.9,22.16,19.28,20.06,20.06,1166300
26-Mar-20,20.36,20.47,18.73,19.6,19.6,1103900
27-Mar-20,18.99,19.22,18.16,18.28,18.28,770800
30-Mar-20,17.85,19.4,16.94,18.7,18.7,805500
31-Mar-20,19.43,20.59,18.37,20.53,20.53,853700
1-Apr-20,19.65,20.37,18.83,18.99,18.99,720900
2-Apr-20,18.9,20.27,18.73,19.42,19.42,800000
3-Apr-20,19.49,20.84,18.99,19.91,19.91,567300
6-Apr-20,20.56,21.79,20.1,21.61,21.61,676000
7-Apr-20,22.22,23.19,21.96,22.7,22.7,724300
8-Apr-20,23.1,24.38,22.86,23.5,23.5,975600
9-Apr-20,24.35,24.76,22.55,23.44,23.44,633800
13-Apr-20,24.03,24.66,23.37,23.65,23.65,910100
14-Apr-20,23.86,24.17,22.67,22.78,22.78,649000
15-Apr-20,21.75,22.2,19.69,21.28,21.28,712400
16-Apr-20,21.33,21.51,19.6,20.93,20.93,498400
17-Apr-20,21.47,22.59,21.27,22.46,22.46,745000
20-Apr-20,21.32,22.83,21,22.4,22.4,738400
21-Apr-20,21.89,22.11,20.93,21.28,21.28,548800
22-Apr-20,21.99,22.26,21.35,22.03,22.03,478700
23-Apr-20,22.91,23.49,22.5,23.26,23.26,399900
24-Apr-20,23.52,24,22.86,23.74,23.74,363700
27-Apr-20,23.69,24.7,23.57,24.49,24.49,355300
28-Apr-20,24.9,25.45,24.07,24.46,24.46,432700
29-Apr-20,25.45,25.67,24.7,24.98,24.98,604600
