Date,Open,High,Low,Close
3-Feb-20,26.35,27.59,26.25,26.52
4-Feb-20,26.98,27.62,26.34,27.34
5-Feb-20,27.77,28.03,27.3,27.89
6-Feb-20,27.95,28.57,27.65,28.14
7-Feb-20,27.94,28.28,26.42,26.85
10-Feb-20,26.79,27.49,26.43,27.48
11-Feb-20,27.85,28.13,27.03,27.56
12-Feb-20,27.97,28.01,27.5,27.76
13-Feb-20,27.79,29.08,27.64,28.39
14-Feb-20,28.4,29.15,28.14,29.09
18-Feb-20,28.95,29.81,28.8,29.4
19-Feb-20,29.65,31,29.5,30.62
20-Feb-20,30.57,31.51,30.08,30.86
21-Feb-20,30.74,30.83,30.03,30.25
24-Feb-20,29.16,29.47,28.08,29.07
25-Feb-20,29.4,29.4,26.83,27.6
26-Feb-20,27.59,28.93,27.3,27.84
27-Feb-20,27.13,27.56,25.85,25.89
28-Feb-20,24.9,26.66,24.51,26.45
