Date,Open,High,Low,Close
2-Jan-20,27.21,27.95,26.62,27.89
3-Jan-20,28.16,28.95,27.73,28.82
6-Jan-20,28.53,28.81,28,28.39
7-Jan-20,28.17,28.28,26.08,26.44
8-Jan-20,26.37,26.4,24.86,25.19
9-Jan-20,25.18,25.5,24.68,25.31
10-Jan-20,25.36,25.55,25.12,25.28
13-Jan-20,25.31,25.39,24.31,25.31
14-Jan-20,25.51,26.88,25.26,26.36
15-Jan-20,26.34,26.86,25.92,26.2
16-Jan-20,26.3,26.71,26.22,26.43
17-Jan-20,26.6,26.76,25.31,25.4
21-Jan-20,25.29,25.73,24.63,25.52
22-Jan-20,25.54,25.72,25.17,25.59
23-Jan-20,25.39,26.61,25.15,26.5
24-Jan-20,26.53,26.56,25.68,25.99
27-Jan-20,25.44,26.08,25.09,25.67
28-Jan-20,25.86,26.36,25.74,26.14
29-Jan-20,26.33,26.64,25.85,25.98
30-Jan-20,25.7,26.54,25.48,26
31-Jan-20,25.68,26.55,25.6,26.28
