name,pos,team,year,salary
Darryl Strawberry,OF,LAD,1991,3800000
Kevin Mitchell,OF,SF,1991,3750000
Will Clark,1B,SF,1991,3750000
Mark Davis,P,KC,1991,3625000
Eric Davis,OF,CIN,1991,3600000
Willie McGee,OF,SF,1991,3562500
Mark Langston,P,LAA,1991,3550000
Dave Stewart,P,OAK,1991,3500000
Jose Canseco,OF,OAK,1991,3500000
Tim Raines Sr.,OF,CWS,1991,3500000
Bob Welch,P,OAK,1991,3450000
Don Mattingly,1B,NYY,1991,3420000
Doug Drabek,P,PIT,1991,3350000
Dennis Martinez,P,WSH,1991,3333333
Andre Dawson,OF,CHC,1991,3300000
Dave Winfield,OF,LAA,1991,3300000
Nolan Ryan,P,TEX,1991,3300000
Glenn Davis,1B,BAL,1991,3275000
Danny Darwin,P,BOS,1991,3250000
Rickey Henderson,OF,OAK,1991,3250000
Paul Molitor,DH,MIL,1991,3233333
Robin Yount,OF,MIL,1991,3200000
Frank Viola,P,NYM,1991,3166667
Kirby Puckett,OF,MIN,1991,3166667
Mike Boddicker,P,KC,1991,3166667
Orel Hershiser,P,LAD,1991,3166667
Vince Coleman,OF,NYM,1991,3112500
Kelly Gruber,3B,TOR,1991,3033333
Dave Stieb,P,TOR,1991,3000000
Tom Henke,P,TOR,1991,2966667
Bret Saberhagen,P,KC,1991,2950000
Jack Clark,1B,BOS,1991,2900000
Mark McGwire,1B,OAK,1991,2850000
Bill Doran,2B,CIN,1991,2833333
Brett Butler,OF,LAD,1991,2833333
Teddy Higuera,P,MIL,1991,2833333
Robin Yount,OF,MIL,1990,3200000
Fred McGriff,1B,SD,1991,2750000
Gary Gaetti,3B,LAA,1991,2700000
Kirby Puckett,OF,MIN,1990,2816667
Paul Molitor,2B,MIL,1990,2600000
Wade Boggs,3B,BOS,1991,2700000
Jack Morris,P,MIN,1991,2666667
Bobby Bonilla,OF,NYM,1993,6200000
Gary Carter,C,NYM,1988,2360714
Roger Clemens,P,BOS,1990,2600000
Eddie Murray,1B,LAD,1990,2513703
Mark Gubicza,P,KC,1991,2666667
Ryne Sandberg,2B,CHC,1993,5975000
Dwight Gooden,P,NYM,1993,5916667
Ozzie Smith,SS,STL,1988,2340000
Mike Schmidt,3B,PHI,1988,2250000
Don Mattingly,1B,NYY,1990,2500000
Rickey Henderson,OF,OAK,1990,2250000
Bobby Bonilla,OF,NYM,1992,6100000
Bobby Bonilla,3B,NYM,1994,6300000
Lee Smith,P,STL,1991,2666666
Ryne Sandberg,2B,CHC,1991,2650000
Orel Hershiser,P,LAD,1989,2766666
Cecil Fielder,1B,DET,1995,9237500
Barry Larkin,SS,CIN,1993,5700000
Jim Rice,OF,BOS,1988,2214865
Eddie Murray,1B,BAL,1988,2142904
Will Clark,1B,SF,1990,2250000
Mark Davis,P,KC,1990,2125000
Danny Tartabull,OF,NYY,1992,5300000
Ryne Sandberg,2B,CHC,1994,5975000
Joe Carter,OF,TOR,1994,5500000
John Franco,P,NYM,1991,2633333
Cal Ripken Jr.,SS,BAL,1989,2466666
Barry Bonds,OF,SF,1995,8000183
Greg Maddux,P,ATL,1993,5500000
George Brett,1B,KC,1988,2138661
Teddy Higuera,P,MIL,1990,2125000
Ruben Sierra,OF,TEX,1992,5000000
Rafael Palmeiro,1B,BAL,1994,5406603
Eddie Murray,1B,LAD,1991,2628164
Dwight Gooden,P,NYM,1989,2416666
David Cone,P,TOR,1995,8000000
Joe Carter,OF,TOR,1993,5500000
Rick Sutcliffe,P,CHC,1988,2070000
Tom Browning,P,CIN,1990,2125000
Dwight Gooden,P,NYM,1992,4916667
Cal Ripken Jr.,SS,BAL,1994,5400000
Roberto Alomar,2B,TOR,1994,5333334
